Comparison,p_adjusted,Significance
THCA_vs_SKCM,1.1221851037633514e-21,***
THCA_vs_LGG,1.9211816605866486e-09,***
THCA_vs_DLBC,7.834357714950445e-18,***
THCA_vs_KICH,4.0834162600896244e-31,***
THCA_vs_UCS,0.0003020964610753411,***
THCA_vs_ACC,8.014359217841867e-10,***
THCA_vs_PCPG,0.004073250459853819,**
THCA_vs_UVM,1.7550811487974516e-36,***
HNSC_vs_READ,6.196387786547116e-09,***
HNSC_vs_SKCM,0.9580474571973252,ns
HNSC_vs_LGG,3.6572105549156196e-48,***
HNSC_vs_DLBC,0.0051592342518057685,**
HNSC_vs_KICH,1.080499436150781e-08,***
HNSC_vs_UCS,2.382095748929205e-05,***
HNSC_vs_ACC,0.004355000423190048,**
HNSC_vs_PCPG,2.112675091194154e-44,***
HNSC_vs_UVM,3.8463601330819254e-07,***
READ_vs_SKCM,5.533105524225483e-06,***
READ_vs_LGG,6.989906965641948e-35,***
READ_vs_DLBC,0.202110351566273,ns
READ_vs_KICH,0.8864185033992383,ns
READ_vs_UCS,1.7045657832790463e-10,***
READ_vs_ACC,2.1800765337433515e-10,***
READ_vs_PCPG,1.653048522733334e-32,***
READ_vs_UVM,0.2912438230805712,ns
SKCM_vs_LGG,5.786485559562645e-16,***
SKCM_vs_DLBC,0.017420587578164257,*
SKCM_vs_KICH,4.3778674547969444e-06,***
SKCM_vs_UCS,0.0006088131432971585,***
SKCM_vs_ACC,0.028191173867068032,*
SKCM_vs_PCPG,8.86340439292942e-22,***
SKCM_vs_UVM,8.047982302723401e-05,***
LGG_vs_DLBC,5.100879050928016e-15,***
LGG_vs_KICH,6.800459663022204e-30,***
LGG_vs_UCS,0.1262569750285064,ns
LGG_vs_ACC,4.038287515469093e-06,***
LGG_vs_PCPG,7.464576015835495e-15,***
LGG_vs_UVM,4.3828996812601766e-35,***
DLBC_vs_KICH,0.127721791939871,ns
DLBC_vs_UCS,7.122748079966446e-06,***
DLBC_vs_ACC,5.2493584012776656e-05,***
DLBC_vs_PCPG,5.0543388421120155e-18,***
DLBC_vs_UVM,0.5510185978218011,ns
KICH_vs_UCS,1.3425592402828897e-10,***
KICH_vs_ACC,1.2795224448091468e-10,***
KICH_vs_PCPG,1.1802693738266155e-27,***
KICH_vs_UVM,0.1795282205393231,ns
UCS_vs_ACC,0.1280992586217277,ns
UCS_vs_PCPG,1.4333364035231169e-06,***
UCS_vs_UVM,1.545253442600137e-10,***
ACC_vs_PCPG,1.9181326408370462e-11,***
ACC_vs_UVM,2.748841689842274e-09,***
PCPG_vs_UVM,5.265597625940122e-32,***
